Month,¸ðµ¨,ÆÇ¸Å·®,Á¡À¯À²,Àü¿ù´ëºñ,Àü¿ù´ëºñº¯È­·®,Àü³â´ëºñ,Àü³â´ëºñº¯È­·®
2022-01-00,1 Series,145,0.10%,76,69¡ã,260,115¡å
2022-02-00,1 Series,97,0.10%,145,48¡å,214,117¡å
2022-03-00,1 Series,192,0.10%,97,95¡ã,252,60¡å
2022-04-00,1 Series,71,0.00%,192,121¡å,137,66¡å
2022-05-00,1 Series,218,0.20%,71,147¡ã,145,73¡ã
2022-06-00,1 Series,190,0.10%,218,28¡å,129,61¡ã
2022-07-00,1 Series,260,0.20%,190,70¡ã,197,63¡ã
2022-08-00,1 Series,250,0.20%,260,10¡å,418,168¡å
2022-09-00,1 Series,148,0.10%,250,102¡å,219,71¡å
2022-10-00,1 Series,99,0.10%,148,49¡å,179,80¡å
2022-11-00,1 Series,87,0.10%,99,12¡å,121,34¡å
2022-12-00,1 Series,75,0.00%,87,12¡å,76,1¡å
2023-01-00,1 Series,73,0.10%,75,2¡å,145,72¡å
2023-02-00,1 Series,83,0.10%,73,10¡ã,97,14¡å
2023-03-00,1 Series,67,0.00%,83,16¡å,192,125¡å
2023-04-00,1 Series,76,0.10%,67,9¡ã,71,5¡ã
2023-05-00,1 Series,95,0.10%,76,19¡ã,218,123¡å
2023-06-00,1 Series,148,0.10%,95,53¡ã,190,42¡å
2023-07-00,1 Series,112,0.10%,148,36¡å,260,148¡å
2023-08-00,1 Series,111,0.10%,112,1¡å,250,139¡å
2023-09-00,1 Series,228,0.20%,111,117¡ã,148,80¡ã
2023-10-00,1 Series,275,0.20%,228,47¡ã,99,176¡ã
2023-11-00,1 Series,318,0.20%,275,43¡ã,87,231¡ã
2023-12-00,1 Series,209,0.10%,318,109¡å,75,134¡ã
2024-01-00,1 Series,38,0.00%,209,171¡å,73,35¡å
2024-02-00,1 Series,70,0.10%,38,32¡ã,83,13¡å
2024-03-00,1 Series,62,0.00%,70,8¡å,67,5¡å
2024-04-00,1 Series,53,0.00%,62,9¡å,76,23¡å
2024-05-00,1 Series,58,0.00%,53,5¡ã,95,37¡å
2024-06-00,1 Series,64,0.00%,58,6¡ã,148,84¡å
2024-07-00,1 Series,174,0.10%,64,110¡ã,112,62¡ã
2024-08-00,1 Series,167,0.10%,174,7¡å,111,56¡ã
2024-09-00,1 Series,100,0.10%,167,67¡å,228,128¡å
2022-04-00,2 Series,76,0.10%,0,76¡ã,0,76¡ã
2022-05-00,2 Series,70,0.00%,76,6¡å,0,70¡ã
2022-06-00,2 Series,76,0.10%,70,6¡ã,0,76¡ã
2022-07-00,2 Series,109,0.10%,76,33¡ã,0,109¡ã
2022-08-00,2 Series,239,0.20%,109,130¡ã,0,239¡ã
2022-09-00,2 Series,78,0.10%,239,161¡å,0,78¡ã
2022-10-00,2 Series,10,0.00%,78,68¡å,0,10¡ã
2022-11-00,2 Series,118,0.10%,10,108¡ã,0,118¡ã
2022-12-00,2 Series,103,0.10%,118,15¡å,0,103¡ã
2023-01-00,2 Series,42,0.00%,103,61¡å,0,42¡ã
2023-02-00,2 Series,57,0.00%,42,15¡ã,0,57¡ã
2023-03-00,2 Series,47,0.00%,57,10¡å,0,47¡ã
2023-04-00,2 Series,34,0.00%,47,13¡å,76,42¡å
2023-05-00,2 Series,42,0.00%,34,8¡ã,70,28¡å
2023-06-00,2 Series,66,0.00%,42,24¡ã,76,10¡å
2023-07-00,2 Series,34,0.00%,66,32¡å,109,75¡å
2023-08-00,2 Series,41,0.00%,34,7¡ã,239,198¡å
2023-09-00,2 Series,96,0.10%,41,55¡ã,78,18¡ã
2023-10-00,2 Series,60,0.00%,96,36¡å,10,50¡ã
2023-11-00,2 Series,64,0.00%,60,4¡ã,118,54¡å
