,Month,모델,판매량,점유율,전월대비,전월대비변화량,전년대비,전년대비변화량
0,2022-01-01,1 Series,145.0,0.10%,76,69▲,260,115▼
1,2022-02-01,1 Series,97.0,0.10%,145,48▼,214,117▼
2,2022-03-01,1 Series,192.0,0.10%,97,95▲,252,60▼
3,2022-04-01,1 Series,71.0,0.00%,192,121▼,137,66▼
4,2022-05-01,1 Series,218.0,0.20%,71,147▲,145,73▲
5,2022-06-01,1 Series,190.0,0.10%,218,28▼,129,61▲
6,2022-07-01,1 Series,260.0,0.20%,190,70▲,197,63▲
7,2022-08-01,1 Series,250.0,0.20%,260,10▼,418,168▼
8,2022-09-01,1 Series,148.0,0.10%,250,102▼,219,71▼
9,2022-10-01,1 Series,99.0,0.10%,148,49▼,179,80▼
10,2022-11-01,1 Series,87.0,0.10%,99,12▼,121,34▼
11,2022-12-01,1 Series,75.0,0.00%,87,12▼,76,1▼
12,2023-01-01,1 Series,73.0,0.10%,75,2▼,145,72▼
13,2023-02-01,1 Series,83.0,0.10%,73,10▲,97,14▼
14,2023-03-01,1 Series,67.0,0.00%,83,16▼,192,125▼
15,2023-04-01,1 Series,76.0,0.10%,67,9▲,71,5▲
16,2023-05-01,1 Series,95.0,0.10%,76,19▲,218,123▼
17,2023-06-01,1 Series,148.0,0.10%,95,53▲,190,42▼
18,2023-07-01,1 Series,112.0,0.10%,148,36▼,260,148▼
19,2023-08-01,1 Series,111.0,0.10%,112,1▼,250,139▼
20,2023-09-01,1 Series,228.0,0.20%,111,117▲,148,80▲
21,2023-10-01,1 Series,275.0,0.20%,228,47▲,99,176▲
22,2023-11-01,1 Series,318.0,0.20%,275,43▲,87,231▲
23,2023-12-01,1 Series,209.0,0.10%,318,109▼,75,134▲
24,2024-01-01,1 Series,38.0,0.00%,209,171▼,73,35▼
25,2024-02-01,1 Series,70.0,0.10%,38,32▲,83,13▼
26,2024-03-01,1 Series,62.0,0.00%,70,8▼,67,5▼
27,2024-04-01,1 Series,53.0,0.00%,62,9▼,76,23▼
28,2024-05-01,1 Series,58.0,0.00%,53,5▲,95,37▼
29,2024-06-01,1 Series,64.0,0.00%,58,6▲,148,84▼
30,2024-07-01,1 Series,174.0,0.10%,64,110▲,112,62▲
31,2024-08-01,1 Series,167.0,0.10%,174,7▼,111,56▲
32,2024-09-01,1 Series,100.0,0.10%,167,67▼,228,128▼
33,2022-04-01,2 Series,76.0,0.10%,0,76▲,0,76▲
34,2022-05-01,2 Series,70.0,0.00%,76,6▼,0,70▲
35,2022-06-01,2 Series,76.0,0.10%,70,6▲,0,76▲
36,2022-07-01,2 Series,109.0,0.10%,76,33▲,0,109▲
37,2022-08-01,2 Series,239.0,0.20%,109,130▲,0,239▲
38,2022-09-01,2 Series,78.0,0.10%,239,161▼,0,78▲
39,2022-10-01,2 Series,10.0,0.00%,78,68▼,0,10▲
40,2022-11-01,2 Series,118.0,0.10%,10,108▲,0,118▲
41,2022-12-01,2 Series,103.0,0.10%,118,15▼,0,103▲
42,2023-01-01,2 Series,42.0,0.00%,103,61▼,0,42▲
43,2023-02-01,2 Series,57.0,0.00%,42,15▲,0,57▲
44,2023-03-01,2 Series,47.0,0.00%,57,10▼,0,47▲
45,2023-04-01,2 Series,34.0,0.00%,47,13▼,76,42▼
46,2023-05-01,2 Series,42.0,0.00%,34,8▲,70,28▼
47,2023-06-01,2 Series,66.0,0.00%,42,24▲,76,10▼
48,2023-07-01,2 Series,34.0,0.00%,66,32▼,109,75▼
49,2023-08-01,2 Series,41.0,0.00%,34,7▲,239,198▼
50,2023-09-01,2 Series,96.0,0.10%,41,55▲,78,18▲
51,2023-10-01,2 Series,60.0,0.00%,96,36▼,10,50▲
52,2023-11-01,2 Series,64.0,0.00%,60,4▲,118,54▼
53,2023-12-01,2 Series,27.0,0.00%,64,37▼,103,76▼
54,2024-01-01,2 Series,10.0,0.00%,27,17▼,42,32▼
55,2024-02-01,2 Series,46.0,0.00%,10,36▲,57,11▼
56,2024-03-01,2 Series,41.0,0.00%,46,5▼,47,6▼
57,2024-04-01,2 Series,18.0,0.00%,41,23▼,34,16▼
58,2024-05-01,2 Series,34.0,0.00%,18,16▲,42,8▼
59,2024-06-01,2 Series,23.0,0.00%,34,11▼,66,43▼
60,2024-07-01,2 Series,58.0,0.00%,23,35▲,34,24▲
61,2024-08-01,2 Series,79.0,0.10%,58,21▲,41,38▲
62,2024-09-01,2 Series,66.0,0.10%,79,13▼,96,30▼
63,2022-10-01,2 Series Active Tourer,62.0,0.00%,0,62▲,0,62▲
64,2022-11-01,2 Series Active Tourer,85.0,0.10%,62,23▲,0,85▲
65,2022-12-01,2 Series Active Tourer,66.0,0.00%,85,19▼,0,66▲
66,2023-01-01,2 Series Active Tourer,22.0,0.00%,66,44▼,0,22▲
67,2023-02-01,2 Series Active Tourer,16.0,0.00%,22,6▼,0,16▲
68,2023-03-01,2 Series Active Tourer,16.0,0.00%,16,0▼,0,16▲
69,2023-04-01,2 Series Active Tourer,67.0,0.00%,16,51▲,0,67▲
70,2023-05-01,2 Series Active Tourer,70.0,0.00%,67,3▲,0,70▲
71,2023-06-01,2 Series Active Tourer,69.0,0.00%,70,1▼,0,69▲
72,2023-07-01,2 Series Active Tourer,86.0,0.10%,69,17▲,0,86▲
73,2023-08-01,2 Series Active Tourer,143.0,0.10%,86,57▲,0,143▲
74,2023-09-01,2 Series Active Tourer,172.0,0.10%,143,29▲,0,172▲
75,2023-10-01,2 Series Active Tourer,157.0,0.10%,172,15▼,62,95▲
76,2023-11-01,2 Series Active Tourer,101.0,0.10%,157,56▼,85,16▲
77,2023-12-01,2 Series Active Tourer,128.0,0.10%,101,27▲,66,62▲
78,2024-01-01,2 Series Active Tourer,46.0,0.00%,128,82▼,22,24▲
79,2024-02-01,2 Series Active Tourer,81.0,0.10%,46,35▲,16,65▲
80,2024-03-01,2 Series Active Tourer,114.0,0.10%,81,33▲,16,98▲
81,2024-04-01,2 Series Active Tourer,131.0,0.10%,114,17▲,67,64▲
82,2024-05-01,2 Series Active Tourer,97.0,0.10%,131,34▼,70,27▲
83,2024-06-01,2 Series Active Tourer,53.0,0.00%,97,44▼,69,16▼
84,2024-07-01,2 Series Active Tourer,53.0,0.00%,53,0▼,86,33▼
85,2024-08-01,2 Series Active Tourer,59.0,0.00%,53,6▲,143,84▼
86,2024-09-01,2 Series Active Tourer,48.0,0.00%,59,11▼,172,124▼
87,2022-01-01,2008,4.0,0.00%,43,39▼,11,7▼
88,2022-02-01,2008,40.0,0.00%,4,36▲,20,20▲
89,2022-03-01,2008,195.0,0.10%,40,155▲,102,93▲
90,2022-04-01,2008,66.0,0.00%,195,129▼,73,7▼
91,2022-05-01,2008,26.0,0.00%,66,40▼,51,25▼
92,2022-06-01,2008,19.0,0.00%,26,7▼,64,45▼
93,2022-07-01,2008,10.0,0.00%,19,9▼,57,47▼
94,2022-08-01,2008,24.0,0.00%,10,14▲,81,57▼
95,2022-09-01,2008,84.0,0.10%,24,60▲,91,7▼
96,2022-10-01,2008,60.0,0.00%,84,24▼,109,49▼
97,2022-11-01,2008,26.0,0.00%,60,34▼,54,28▼
98,2022-12-01,2008,6.0,0.00%,26,20▼,43,37▼
99,2023-01-01,2008,4.0,0.00%,6,2▼,4,0▼
100,2023-02-01,2008,6.0,0.00%,4,2▲,40,34▼
101,2023-03-01,2008,9.0,0.00%,6,3▲,195,186▼
102,2023-04-01,2008,1.0,0.00%,9,8▼,66,65▼
103,2023-05-01,2008,1.0,0.00%,1,0▼,26,25▼
104,2023-06-01,2008,4.0,0.00%,1,3▲,19,15▼
105,2023-07-01,2008,1.0,0.00%,4,3▼,10,9▼
106,2023-08-01,2008,5.0,0.00%,1,4▲,24,19▼
107,2023-09-01,2008,9.0,0.00%,5,4▲,84,75▼
108,2023-10-01,2008,10.0,0.00%,9,1▲,60,50▼
109,2023-11-01,2008,41.0,0.00%,10,31▲,26,15▲
110,2023-12-01,2008,25.0,0.00%,41,16▼,6,19▲
111,2024-01-01,2008,15.0,0.00%,25,10▼,4,11▲
112,2024-02-01,2008,27.0,0.00%,15,12▲,6,21▲
113,2024-03-01,2008,5.0,0.00%,27,22▼,9,4▼
114,2022-01-01,3 Series,550.0,0.50%,433,117▲,593,43▼
115,2022-02-01,3 Series,419.0,0.30%,550,131▼,823,404▼
116,2022-03-01,3 Series,931.0,0.70%,419,512▲,884,47▲
117,2022-04-01,3 Series,694.0,0.50%,931,237▼,713,19▼
118,2022-05-01,3 Series,675.0,0.50%,694,19▼,604,71▲
119,2022-06-01,3 Series,778.0,0.50%,675,103▲,772,6▲
120,2022-07-01,3 Series,601.0,0.40%,778,177▼,834,233▼
121,2022-08-01,3 Series,393.0,0.30%,601,208▼,672,279▼
122,2022-09-01,3 Series,458.0,0.30%,393,65▲,549,91▼
123,2022-10-01,3 Series,117.0,0.10%,458,341▼,472,355▼
124,2022-11-01,3 Series,689.0,0.40%,0,689▲,0,689▲
125,2022-12-01,3 Series,499.0,0.30%,689,190▼,0,499▲
126,2023-01-01,3 Series,515.0,0.40%,499,16▲,0,515▲
127,2023-02-01,3 Series,292.0,0.20%,515,223▼,0,292▲
128,2023-03-01,3 Series,388.0,0.20%,292,96▲,0,388▲
129,2023-04-01,3 Series,578.0,0.40%,388,190▲,0,578▲
130,2023-05-01,3 Series,399.0,0.30%,578,179▼,0,399▲
